Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
16,33.0,34.0,3.0,0.0,47.05,4.0,caught,2.0,v England,Nottingham,2,2
56,136.0,86.0,8.0,0.0,65.11,4.0,lbw,4.0,v England,Nottingham,2,2
1,10.0,8.0,0.0,0.0,12.5,4.0,caught,1.0,v England,Birmingham,2,2
40,92.0,60.0,8.0,0.0,66.66,4.0,run out,3.0,v England,Birmingham,2,2
23,65.0,34.0,4.0,0.0,67.64,4.0,caught,2.0,v England,The Oval,2,2
91,235.0,172.0,11.0,0.0,52.9,4.0,lbw,3.0,v England,The Oval,2,2
73,151.0,98.0,8.0,1.0,74.48,4.0,bowled,2.0,v Australia,Melbourne,2,2
32,73.0,46.0,4.0,0.0,69.56,4.0,caught,4.0,v Australia,Melbourne,2,2
41,133.0,89.0,8.0,0.0,46.06,4.0,bowled,1.0,v Australia,Sydney,2,2
80,213.0,141.0,9.0,0.0,56.73,4.0,caught,3.0,v Australia,Sydney,2,2
15,46.0,25.0,3.0,0.0,60.0,4.0,lbw,1.0,v Australia,Perth,2,2
8,22.0,16.0,1.0,0.0,50.0,4.0,lbw,3.0,v Australia,Perth,2,2
25,94.0,69.0,3.0,0.0,36.23,4.0,caught,2.0,v Australia,Adelaide,2,2
13,46.0,34.0,2.0,0.0,38.23,4.0,caught,4.0,v Australia,Adelaide,2,2
15,28.0,24.0,2.0,0.0,62.5,6.0,bowled,2.0,v Pakistan,Karachi,2,4
59,254.0,172.0,4.0,0.0,34.3,6.0,lbw,1.0,v Pakistan,Faisalabad,2,4
8,24.0,16.0,1.0,0.0,50.0,6.0,run out,3.0,v Pakistan,Faisalabad,2,4
41,124.0,90.0,5.0,0.0,45.55,7.0,bowled,1.0,v Pakistan,Lahore,2,4
35,74.0,51.0,5.0,0.0,68.62,6.0,lbw,1.0,v Pakistan,Sialkot,2,4
57,193.0,134.0,6.0,0.0,42.53,6.0,caught,3.0,v Pakistan,Sialkot,2,4
88,324.0,266.0,5.0,0.0,33.08,6.0,caught,1.0,v New Zealand,Napier,2,4
5,15.0,13.0,1.0,0.0,38.46,6.0,caught,2.0,v New Zealand,Auckland,2,4
68,216.0,136.0,8.0,0.0,50.0,6.0,caught,2.0,v England,Manchester,2,4
119*,225.0,189.0,17.0,0.0,62.96,6.0,not out,4.0,v England,Manchester,2,4
21,39.0,30.0,3.0,0.0,70.0,7.0,caught,1.0,v England,The Oval,2,4
148*,298.0,213.0,14.0,0.0,69.48,6.0,not out,2.0,v Australia,Sydney,2,4
0,4.0,3.0,0.0,0.0,0.0,4.0,caught,2.0,v Zimbabwe,Harare,2,4
