Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
100*,298,211,11,0,47.39,5,not out,3,v Sri Lanka,Ahmedabad,1,4
40,168,133,5,0,30.07,4,caught,1,v New Zealand,Ahmedabad,1,4
12,27,25,2,0,48,4,bowled,3,v New Zealand,Ahmedabad,1,4
13,52,28,1,0,46.42,4,caught,2,v New Zealand,Hyderabad (Deccan),1,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v New Zealand,Hyderabad (Deccan),1,4
94,219,153,8,2,61.43,4,caught,2,v West Indies,Mumbai,1,4
3,6,7,0,0,42.85,4,caught,4,v West Indies,Mumbai,1,4
2,25,13,0,0,15.38,4,bowled,2,v England,Nagpur,1,4
28,74,52,5,0,53.84,4,caught,1,v Sri Lanka,Colombo (SSC),2,1
104*,217,161,11,1,64.59,4,not out,3,v Sri Lanka,Colombo (SSC),2,1
18,63,41,1,0,43.9,5,caught,2,v Bangladesh,Dhaka,2,1
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Bangladesh,Dhaka,2,1
74,179,128,12,0,57.81,4,caught,2,v Zimbabwe,Bulawayo,2,1
36*,41,49,4,0,73.46,4,not out,4,v Zimbabwe,Bulawayo,2,1
117,356,260,14,0,45,4,lbw,1,v West Indies,Port of Spain,2,1
0,16,4,0,0,0,4,lbw,3,v West Indies,Port of Spain,2,1
193,434,330,19,3,58.48,4,lbw,1,v England,Leeds,2,1
1,15,6,0,0,16.66,4,caught,2,v Australia,Adelaide,2,1
37,79,59,5,0,62.71,4,lbw,4,v Australia,Adelaide,2,1
194*,493,348,21,0,55.74,4,not out,1,v Pakistan,Multan,2,1
1,6,3,0,0,33.33,4,caught,2,v Pakistan,Rawalpindi,2,1
248*,552,379,35,0,65.43,4,not out,2,v Bangladesh,Dhaka,2,1
36,79,55,6,0,65.45,4,lbw,1,v Bangladesh,Chittagong,2,1
44,113,89,7,0,49.43,4,caught,1,v South Africa,Johannesburg,2,1
14,43,22,3,0,63.63,4,bowled,3,v South Africa,Johannesburg,2,1
122*,354,226,8,1,53.98,4,not out,1,v Bangladesh,Dhaka,2,1
91,259,197,12,0,46.19,4,lbw,2,v England,Nottingham,2,1
1,17,15,0,0,6.66,4,caught,4,v England,Nottingham,2,1
71,175,128,9,0,55.46,4,lbw,1,v Australia,Perth,2,1
13,33,25,2,0,52,5,lbw,3,v Australia,Perth,2,1
5,5,3,1,0,166.66,4,lbw,1,v Sri Lanka,Galle,2,1
31,54,42,5,0,73.8,4,caught,3,v Sri Lanka,Galle,2,1
160,397,260,26,0,61.53,4,caught,2,v New Zealand,Hamilton,2,1
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v New Zealand,Hamilton,2,1
105*,246,166,11,2,63.25,4,not out,1,v Bangladesh,Chittagong,2,1
16,47,26,2,0,61.53,5,lbw,3,v Bangladesh,Chittagong,2,1
143,259,182,13,1,78.57,4,caught,2,v Bangladesh,Dhaka,2,1
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Bangladesh,Dhaka,2,1
41,88,72,5,0,56.94,4,caught,2,v Sri Lanka,Colombo (PSS),2,1
54,186,122,3,0,44.26,4,caught,4,v Sri Lanka,Colombo (PSS),2,1
13,42,22,3,0,59.09,4,caught,1,v South Africa,Durban,2,1
6,22,10,1,0,60,4,caught,3,v South Africa,Durban,2,1
0,1,1,0,0,0,6,caught,2,v New Zealand,Christchurch,2,2
24,50,44,3,0,54.54,6,caught,3,v New Zealand,Christchurch,2,2
10,30,19,1,0,52.63,6,bowled,2,v England,Lord's,2,2
27,93,65,4,0,41.53,6,caught,4,v England,Lord's,2,2
16,47,42,3,0,38.09,6,bowled,1,v Australia,Brisbane,2,2
7,36,25,1,0,28,6,caught,3,v Australia,Brisbane,2,2
15,33,23,0,0,65.21,7,caught,1,v Australia,Melbourne,2,2
40,122,107,5,0,37.38,7,caught,3,v Australia,Melbourne,2,2
6,20,8,1,0,75,6,lbw,2,v Australia,Adelaide,2,2
17,36,29,2,0,58.62,4,lbw,4,v Australia,Adelaide,2,2
114,228,161,16,0,70.8,4,caught,2,v Australia,Perth,2,2
5,12,9,1,0,55.55,4,caught,4,v Australia,Perth,2,2
6,27,17,1,0,35.29,4,caught,1,v South Africa,Port Elizabeth,2,2
0,1,1,0,0,0,4,caught,3,v South Africa,Port Elizabeth,2,2
24,71,41,4,0,58.53,4,bowled,1,v England,Birmingham,2,2
122,263,177,19,1,68.92,4,caught,3,v England,Birmingham,2,2
15,58,45,2,0,33.33,4,bowled,2,v South Africa,Durban,2,2
4,32,25,1,0,16,4,caught,4,v South Africa,Durban,2,2
169,329,254,26,0,66.53,5,caught,2,v South Africa,Cape Town,2,2
9,38,28,1,0,32.14,5,caught,4,v South Africa,Cape Town,2,2
92,222,147,14,1,62.58,4,caught,2,v West Indies,Bridgetown,2,2
4,25,14,0,0,28.57,4,caught,4,v West Indies,Bridgetown,2,2
34,103,68,3,0,50,5,caught,2,v Zimbabwe,Harare,2,2
7,27,14,0,0,50,4,caught,4,v Zimbabwe,Harare,2,2
47,95,72,7,0,65.27,5,caught,1,v New Zealand,Wellington,2,2
113,200,151,13,2,74.83,5,caught,3,v New Zealand,Wellington,2,2
61,181,133,8,0,45.86,5,caught,2,v Australia,Adelaide,2,2
0,6,5,0,0,0,5,lbw,4,v Australia,Adelaide,2,2
116,283,191,9,1,60.73,4,caught,2,v Australia,Melbourne,2,2
52,162,122,4,0,42.62,4,lbw,4,v Australia,Melbourne,2,2
45,82,53,8,0,84.9,4,lbw,1,v Australia,Sydney,2,2
4,6,4,1,0,100,4,caught,3,v Australia,Sydney,2,2
20,78,46,2,1,43.47,4,bowled,1,v Zimbabwe,Harare,2,2
69,185,135,9,0,51.11,4,caught,3,v Zimbabwe,Harare,2,2
155,233,184,23,1,84.23,4,caught,1,v South Africa,Bloemfontein,2,2
15,60,35,2,0,42.85,4,caught,3,v South Africa,Bloemfontein,2,2
0,4,2,0,0,0,4,caught,1,v West Indies,Bridgetown,2,2
8,32,17,1,0,47.05,4,lbw,3,v West Indies,Bridgetown,2,2
41,94,63,7,0,65.07,4,bowled,2,v West Indies,Kingston,2,2
86,162,139,13,0,61.87,4,bowled,4,v West Indies,Kingston,2,2
16,94,61,2,0,26.22,5,caught,2,v England,Lord's,2,2
12,51,35,2,0,34.28,4,bowled,4,v England,Lord's,2,2
8,47,26,2,0,30.76,4,lbw,1,v New Zealand,Wellington,2,2
51,120,74,7,0,68.91,4,bowled,3,v New Zealand,Wellington,2,2
9,40,31,1,0,29.03,4,caught,1,v New Zealand,Hamilton,2,2
32,55,48,5,0,66.66,4,bowled,3,v New Zealand,Hamilton,2,2
